Year,Inflasi
Mar 2003,-0.23
Apr 2003,0.15
May 2003,0.21
Jun 2003,0.09
Jul 2003,0.03
Aug 2003,0.84
Sep 2003,0.36
Oct 2003,0.55
Nov 2003,1.01
Dec 2003,0.94
Jan 2004,0.57
Feb 2004,-0.02
Mar 2004,0.36
Apr 2004,0.97
May 2004,0.88
Jun 2004,0.48
Jul 2004,0.39
Aug 2004,0.09
Sep 2004,0.02
Oct 2004,0.56
Nov 2004,0.89
Dec 2004,1.04
Jan 2005,1.43
Feb 2005,-0.17
Mar 2005,1.91
Apr 2005,0.34
May 2005,0.21
Jun 2005,0.5
Jul 2005,0.78
Aug 2005,0.55
Sep 2005,0.69
Oct 2005,8.7
Nov 2005,1.31
Dec 2005,-0.04
Jan 2006,1.36
Feb 2006,0.58
Mar 2006,0.03
Apr 2006,0.05
May 2006,0.37
Jun 2006,0.45
Jul 2006,0.45
Aug 2006,0.33
Sep 2006,0.38
Oct 2006,0.86
Nov 2006,0.34
Dec 2006,1.21
Jan 2007,1.04
Feb 2007,0.62
Mar 2007,0.24
Apr 2007,-0.16
May 2007,0.1
Jun 2007,0.23
Jul 2007,0.72
Aug 2007,0.75
Sep 2007,0.8
Oct 2007,0.79
Nov 2007,0.18
Dec 2007,1.1
Jan 2008,1.77
Feb 2008,0.65
Mar 2008,0.95
Apr 2008,0.57
May 2008,1.41
Jun 2008,2.46
Jul 2008,1.37
Aug 2008,0.51
Sep 2008,0.97
Oct 2008,0.45
Nov 2008,0.12
Dec 2008,-0.04
Jan 2009,-0.07
Feb 2009,0.21
Mar 2009,0.22
Apr 2009,-0.31
May 2009,0.04
Jun 2009,0.11
Jul 2009,0.45
Aug 2009,0.56
Sep 2009,1.05
Oct 2009,0.19
Nov 2009,-0.03
Dec 2009,0.33
Jan 2010,0.84
Feb 2010,-0.08
Mar 2010,-0.14
Apr 2010,0.15
May 2010,0.29
Jun 2010,0.97
Jul 2010,1.57
Aug 2010,0.76
Sep 2010,0.44
Oct 2010,0.06
Nov 2010,0.6
Dec 2010,0.92
Jan 2011,0.89
Feb 2011,0.13
Mar 2011,-0.32
Apr 2011,-0.31
May 2011,0.12
Jun 2011,0.55
Jul 2011,0.67
Aug 2011,0.93
Sep 2011,0.27
Oct 2011,-0.12
Nov 2011,0.34
Dec 2011,0.57
Jan 2012,0.76
Feb 2012,0.05
Mar 2012,0.07
Apr 2012,0.21
May 2012,0.07
Jun 2012,0.62
Jul 2012,0.7
Aug 2012,0.95
Sep 2012,0.01
Oct 2012,0.16
Nov 2012,0.07
Dec 2012,0.54
Jan 2013,1.03
Feb 2013,0.75
Mar 2013,0.63
Apr 2013,-0.1
May 2013,-0.03
Jun 2013,1.03
Jul 2013,3.29
Aug 2013,1.12
Sep 2013,-0.35
Oct 2013,0.09
Nov 2013,0.12
Dec 2013,0.55
Jan 2014,1.07
Feb 2014,0.26
Mar 2014,0.08
Apr 2014,-0.02
May 2014,0.16
Jun 2014,0.43
Jul 2014,0.93
Aug 2014,0.47
Sep 2014,0.27
Oct 2014,0.47
Nov 2014,1.5
Dec 2014,2.46
Jan 2015,-0.24
Feb 2015,-0.36
Mar 2015,0.17
Apr 2015,0.36
May 2015,0.5
Jun 2015,0.54
Jul 2015,0.93
Aug 2015,0.39
Sep 2015,-0.05
Oct 2015,-0.08
Nov 2015,0.21
Dec 2015,0.96
Jan 2016,0.51
Feb 2016,-0.09
Mar 2016,0.19
Apr 2016,-0.45
May 2016,0.24
Jun 2016,0.66
Jul 2016,0.69
Aug 2016,-0.02
Sep 2016,0.22
Oct 2016,0.14
Nov 2016,0.47
Dec 2016,0.42
Jan 2017,0.97
Feb 2017,0.23
Mar 2017,-0.02
Apr 2017,0.09
May 2017,0.39
Jun 2017,0.69
Jul 2017,0.22
Aug 2017,-0.07
Sep 2017,0.13
Oct 2017,0.01
Nov 2017,0.2
Dec 2017,0.71
Jan 2018,0.62
Feb 2018,0.17
Mar 2018,0.2
Apr 2018,0.1
May 2018,0.21
Jun 2018,0.59
Jul 2018,0.28
Aug 2018,-0.05
Sep 2018,-0.18
Oct 2018,0.28
Nov 2018,0.27
Dec 2018,0.62
Jan 2019,0.32
Feb 2019,-0.08
Mar 2019,0.11
Apr 2019,0.44
May 2019,0.68
Jun 2019,0.55
Jul 2019,0.31
Aug 2019,0.12
Sep 2019,-0.27
Oct 2019,0.02
Nov 2019,0.14
Dec 2019,0.34
Jan 2020,0.39
Feb 2020,0.28
Mar 2020,0.1
Apr 2020,0.08
May 2020,0.07
